exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,walk_time,longest_idle_time,datauuid,day_time
,3326,,2161800,,0,2020-08-01 03:54:24.973,,2020-07-31 04:00:35.548,,,,60,180000,58,,,,2650.6,,144.73,bcaf0db6-e510-4607-8eaf-00aac3a6011c.extra_data.json,2152607,37200000,bcaf0db6-e510-4607-8eaf-00aac3a6011c,2020-07-31 00:00:00.000
,2226,,1468188,,0,2019-09-22 03:00:00.589,,2019-09-21 03:00:00.401,,,,60,52026,40,,,,1832.1002,,94.26002,c4f301d4-15f2-4743-9f24-03a3355ed422.extra_data.json,1443388,38640000,c4f301d4-15f2-4743-9f24-03a3355ed422,2019-09-21 00:00:00.000
,237,,158079,,0,2020-07-07 23:52:26.821,,2020-07-07 04:00:01.178,,,,60,28681,3,,,,178.37003,,9.389999,448d2aa2-5eaa-4124-9572-6dfc702539ff.extra_data.json,158079,40320000,448d2aa2-5eaa-4124-9572-6dfc702539ff,2020-07-07 00:00:00.000
,8980,,5729550,,0,2020-09-14 02:26:49.858,,2020-09-13 03:00:00.503,,,,60,1205772,158,,,,7118.7603,,369.92578,64ec7b2e-0060-46eb-955f-82e501b06929.extra_data.json,5722765,27480000,64ec7b2e-0060-46eb-955f-82e501b06929,2020-09-13 00:00:00.000
,8492,,5018361,,0,2019-09-07 02:47:55.565,,2019-09-06 04:00:00.838,,,,60,420000,138,,,,6527.9233,,355.63007,7226311d-e517-412f-bc57-9fdccf8cc9a5.extra_data.json,4987354,18660000,7226311d-e517-412f-bc57-9fdccf8cc9a5,2019-09-06 00:00:00.000
,6814,,4137619,,0,2019-07-18 01:49:06.821,,2019-07-17 04:00:00.445,,,,60,420000,113,,,,5333.8184,,276.34998,f716b5e2-20d0-47e9-a41f-07abb0adbc69.extra_data.json,4118534,26700000,f716b5e2-20d0-47e9-a41f-07abb0adbc69,2019-07-17 00:00:00.000
,6772,,4116499,,0,2019-12-11 02:50:48.354,,2019-12-10 03:00:00.719,,,,60,420000,111,,,,5234.5596,,285.58002,29bc114d-151b-4d7a-91c4-e62ac087f07d.extra_data.json,4070418,33840000,29bc114d-151b-4d7a-91c4-e62ac087f07d,2019-12-10 00:00:00.000
,4566,,2934096,,0,2020-08-16 01:20:23.129,,2020-08-15 04:00:01.976,,,,60,300000,80,,,,3635.1597,,193.53996,4a9e79d5-9962-42a5-b67f-253426c1496a.extra_data.json,2926496,38100000,4a9e79d5-9962-42a5-b67f-253426c1496a,2020-08-15 00:00:00.000
,3068,,1907408,,0,2020-02-11 02:36:28.725,,2020-02-10 03:00:01.837,,,,60,816891,51,,,,2434.985,,130.7282,0236b0a3-39e1-4c9f-8f9e-65acc3259c88.extra_data.json,1896608,34320000,0236b0a3-39e1-4c9f-8f9e-65acc3259c88,2020-02-10 00:00:00.000
,6864,,4414536,,0,2020-08-06 01:55:18.084,,2020-08-05 04:00:00.963,,,,60,360000,120,,,,5554.719,,306.06998,dedfd060-4675-4c2b-b864-dc21f545fce9.extra_data.json,4362983,19020000,dedfd060-4675-4c2b-b864-dc21f545fce9,2020-08-05 00:00:00.000
