sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,wind_speed_unit,forecast_time,wind_speed
0.0,2021-01-11 22:28:47.653,-30.596415,,O. 270,Soleado,0.0,1,TWC,2021-01-11 22:28:47.660,2021-01-11 22:28:47.660,1,-71.18956,24.0,36,UTC-0300,km/h,0.0,19.0
0.0,2018-11-23 19:51:57.394,-33.718708,,OSO. 240,Soleado,0.0,1,TWC,2018-11-23 19:51:57.400,2018-11-23 19:51:57.400,1,-70.92552,32.0,19,UTC-0300,km/h,0.0,21.0
0.0,2020-01-28 20:33:49.789,-33.54088,,OSO. 250,Soleado,0.0,1,TWC,2020-01-28 20:33:49.795,2020-01-28 20:33:49.795,1,-70.5906,31.0,31,UTC-0300,km/h,0.0,16.0
0.0,2020-10-03 15:56:18.603,-33.42169,,SO. 220,Soleado,0.0,1,TWC,2020-10-03 15:56:18.607,2020-10-03 15:56:18.607,1,-70.6083,14.0,42,UTC-0300,km/h,0.0,8.0
0.0,2018-05-16 21:39:14.959,-33.429577,,SSE. 160,Nublado,0.0,1,TWC,2018-05-16 21:39:14.962,2018-05-16 21:39:14.962,1,-70.619514,17.0,47,UTC-0400,km/h,0.0,13.0
0.0,2020-01-29 16:01:41.195,-33.500813,,SO. 230,Soleado,0.0,1,TWC,2020-01-29 16:01:41.197,2020-01-29 16:01:41.197,1,-70.610634,26.0,47,UTC-0300,km/h,0.0,8.0
0.0,2018-11-18 18:57:10.050,-33.429832,,SSO. 200,Soleado,0.0,1,TWC,2018-11-18 18:57:10.052,2018-11-18 18:57:10.052,1,-70.619606,31.0,12,UTC-0300,km/h,0.0,10.0
0.0,2018-05-24 18:28:42.047,-33.467186,,SSO. 200,Soleado,0.0,1,TWC,2018-05-24 18:28:42.054,2018-05-24 18:28:42.054,1,-70.62571,24.0,15,UTC-0400,km/h,0.0,5.0
0.0,2019-05-23 18:35:03.696,-33.50063,,SSO. 200,Soleado,0.0,1,TWC,2019-05-23 18:35:03.698,2019-05-23 18:35:03.698,1,-70.61073,21.0,18,UTC-0400,km/h,0.0,3.0
0.0,2019-10-13 03:48:30.527,-33.41954,,ESE. 110,Muy nublado,0.0,1,TWC,2019-10-13 03:48:30.533,2019-10-13 03:48:30.533,1,-70.605286,15.0,59,UTC-0300,km/h,0.0,0.0
0.0,2020-02-27 17:47:52.894,-33.417736,,O. 260,Soleado,0.0,1,TWC,2020-02-27 17:47:52.899,2020-02-27 17:47:52.899,1,-70.60476,32.0,19,UTC-0300,km/h,0.0,10.0
0.0,2019-03-30 15:25:58.636,-33.417324,,SSO. 210,Muy nublado,0.0,1,TWC,2019-03-30 15:25:58.637,2019-03-30 15:25:58.637,1,-70.60727,21.0,49,UTC-0300,km/h,0.0,5.0
0.0,2019-01-27 15:34:50.490,-33.433144,,S. 190,Soleado,0.0,1,TWC,2019-01-27 15:34:50.507,2019-01-27 15:34:50.507,1,-70.61666,31.0,27,UTC-0300,km/h,0.0,8.0
0.0,2019-03-02 00:30:42.598,-30.596384,,O. 280,Despejado,0.0,1,TWC,2019-03-02 00:30:42.604,2019-03-02 00:30:42.604,1,-71.18954,18.0,69,UTC-0300,km/h,0.0,10.0
0.0,2018-03-24 20:22:00.792,-33.42957,,SO. 220,Soleado,0.0,1,TWC,2018-03-24 20:22:00.797,2018-03-24 20:22:00.797,1,-70.619,28.0,17,UTC-0300,km/h,0.0,10.0
0.0,2019-08-22 22:16:44.625,-33.49915,,S. 190,Soleado,0.0,1,TWC,2019-08-22 22:16:44.627,2019-08-22 22:16:44.627,1,-70.616005,25.0,26,UTC-0400,km/h,0.0,0.0
0.0,2018-09-21 19:22:33.658,-33.429768,,OSO. 240,Soleado,0.0,1,TWC,2018-09-21 19:22:33.664,2018-09-21 19:22:33.664,1,-70.6196,27.0,19,UTC-0300,km/h,0.0,8.0
0.0,2020-10-19 23:59:18.061,-33.429775,,SO. 220,Parcialmente nublado/Viento,0.0,1,TWC,2020-10-19 23:59:18.073,2020-10-19 23:59:18.073,1,-70.61959,18.0,48,UTC-0300,km/h,0.0,34.0
0.0,2018-04-01 00:52:42.811,-30.596106,,ONO. 290,Despejado,0.0,1,TWC,2018-04-01 00:52:42.816,2018-04-01 00:52:42.816,1,-71.18936,16.0,82,UTC-0300,km/h,0.0,6.0
0.0,2018-09-03 21:04:13.296,-33.429775,,S. 190,Soleado,0.0,1,TWC,2018-09-03 21:04:13.298,2018-09-03 21:04:13.298,1,-70.61958,28.0,14,UTC-0300,km/h,0.0,3.0
0.0,2018-08-08 02:50:36.212,-33.42985,,E. 80,Soleado,0.0,1,TWC,2018-08-08 02:50:36.214,2018-08-08 02:50:36.214,1,-70.61957,7.0,46,UTC-0400,km/h,0.0,5.0
0.0,2019-11-25 16:45:02.431,-33.426014,,S. 170,Nublado,0.0,1,TWC,2019-11-25 16:45:02.433,2019-11-25 16:45:02.433,1,-70.61479,18.0,55,UTC-0300,km/h,0.0,8.0
0.0,2019-03-01 18:01:58.178,-30.599018,,O. 270,Soleado,0.0,1,TWC,2019-03-01 18:01:58.181,2019-03-01 18:01:58.181,1,-71.1896,25.0,48,UTC-0300,km/h,0.0,18.0
0.0,2019-10-18 20:13:34.591,-33.5176,,OSO. 240,Soleado,0.0,1,TWC,2019-10-18 20:13:34.592,2019-10-18 20:13:34.592,1,-70.611824,24.0,27,UTC-0300,km/h,0.0,11.0
0.0,2018-10-11 00:20:00.179,-33.428448,,SSE. 160,Nublado,0.0,1,TWC,2018-10-11 00:20:00.184,2018-10-11 00:20:00.184,1,-70.61889,16.0,59,UTC-0300,km/h,0.0,3.0
0.0,2020-07-30 20:48:33.566,-30.595499,,O. 280,Soleado,0.0,1,TWC,2020-07-30 20:48:33.567,2020-07-30 20:48:33.567,1,-71.17995,21.0,38,UTC-0400,km/h,0.0,11.0
0.0,2020-10-03 16:26:02.176,-33.42975,,SSO. 200,Soleado,0.0,1,TWC,2020-10-03 16:26:02.177,2020-10-03 16:26:02.177,1,-70.61961,14.0,46,UTC-0300,km/h,0.0,13.0
0.0,2019-04-08 14:04:40.061,-33.50103,,SO. 220,Soleado,0.0,1,TWC,2019-04-08 14:04:40.063,2019-04-08 14:04:40.063,1,-70.60887,18.0,56,UTC-0400,km/h,0.0,0.0
0.0,2018-04-17 21:55:15.681,-33.446804,,SO. 220,Soleado,0.0,1,TWC,2018-04-17 21:55:15.685,2018-04-17 21:55:15.685,1,-70.638596,24.0,36,UTC-0300,km/h,0.0,10.0
0.0,2020-02-01 13:32:57.974,-33.45659,,SSO. 210,Soleado,0.0,1,TWC,2020-02-01 13:32:57.978,2020-02-01 13:32:57.978,1,-70.61409,23.0,40,UTC-0300,km/h,0.0,3.0
0.0,2019-08-31 15:41:05.584,-33.429478,,NO. 320,Soleado,0.0,1,TWC,2019-08-31 15:41:05.586,2019-08-31 15:41:05.586,1,-70.61949,17.0,36,UTC-0400,km/h,0.0,3.0
0.0,2019-03-29 18:21:04.422,-33.58075,,OSO. 240,Bruma,0.0,1,TWC,2019-03-29 18:21:04.429,2019-03-29 18:21:04.429,1,-70.40823,27.0,26,UTC-0300,km/h,0.0,13.0
0.0,2018-11-22 21:22:40.874,-33.500347,,SSO. 200,Parcialmente nublado,0.0,1,TWC,2018-11-22 21:22:40.878,2018-11-22 21:22:40.878,1,-70.6161,29.0,29,UTC-0300,km/h,0.0,8.0
0.0,2019-02-02 21:41:09.379,-30.599443,,O. 270,Soleado,0.0,1,TWC,2019-02-02 21:41:09.385,2019-02-02 21:41:09.385,1,-71.18359,26.0,52,UTC-0300,km/h,0.0,19.0
0.0,2019-01-29 13:11:56.744,-33.422997,,O. 280,Soleado,0.0,1,TWC,2019-01-29 13:11:56.748,2019-01-29 13:11:56.748,1,-70.61852,23.0,38,UTC-0300,km/h,0.0,5.0
0.0,2020-04-07 20:15:04.010,-30.598032,,O. 280,Soleado,0.0,1,TWC,2020-04-07 20:15:04.013,2020-04-07 20:15:04.013,1,-71.18857,24.0,48,UTC-0400,km/h,0.0,18.0
0.0,2020-02-23 16:55:20.349,-39.866047,,OSO. 250,Parcialmente nublado,0.0,1,TWC,2020-02-23 16:55:20.365,2020-02-23 16:55:20.365,1,-73.39661,19.0,69,UTC-0300,km/h,0.0,14.0
